,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
7469,89815777,134100,flat,73.0,0,3,1,"Avenida de Nuestra Señora de Valvanera, 114",Madrid,Carabanchel,40.3928,-3.7404,4118,nan,0,0,1837,0,0,San Isidro,4,0,,0
7470,89815881,330000,flat,84.0,0,4,2,"Calle de Juana Doña, 10",Madrid,Arganzuela,40.3965,-3.6931,2400,nan,0,0,3929,0,0,Delicias,3,1,,0
7471,89815996,176000,flat,56.0,0,3,1,"Avenida de Betanzos, 26",Madrid,Fuencarral,40.4739,-3.7114,6401,nan,0,0,3143,0,0,Pilar,3,1,,0
7472,89816069,123000,flat,72.0,0,3,1,"Calle Francisco Ruiz, 5",Madrid,Usera,40.3822,-3.7031,3835,nan,0,0,1708,0,0,Almendrales,3,0,,0
7473,88015009,135000,flat,83.0,1,3,1,Federico Marín,Valdemoro,Centro,40.1897,-3.6768,25340,good,0,0,1627,0,0,nan,3,1,,0
7474,89816146,79900,flat,76.0,0,3,1,"Avenida Venerable Madre María Antonia de la Miseri, 20",Ciempozuelos,Casco Antiguo norte,40.1603,-3.6216,29336,nan,0,0,1051,0,0,nan,5,1,,0
7475,89816603,149900,flat,53.0,0,2,1,"Paseo de la Dirección, 27",Madrid,Tetuán,40.4587,-3.7089,4694,nan,0,0,2828,0,0,Berruguete,2,0,,0
7476,89816679,89900,flat,56.0,0,3,1,"Calle Almonacid, 28",Madrid,Puente de Vallecas,40.3965,-3.6592,4355,nan,0,0,1605,0,0,Numancia,4,0,,0
7477,90157956,190000,flat,39.0,0,1,1,Calle de Fray Ceferino González,Madrid,Centro,40.4089,-3.7068,913,good,0,0,4872,0,0,Lavapiés-Embajadores,2,0,,0
7478,90157955,217000,duplex,105.0,1,3,2,Centro,Colmenar Viejo,Centro,40.6575,-3.767,27313,good,0,0,2067,1,1,nan,nan,0,,0
7479,88629466,200000,flat,51.0,0,1,1,barrio Fuente del Berro,Madrid,Barrio de Salamanca,40.4252,-3.6661,3285,nan,0,0,3922,0,0,Fuente del Berro,1,0,,0
7480,90157912,269000,flat,82.0,1,3,2,"Calle de Leñeros, 29",Madrid,Tetuán,40.4542,-3.7099,4208,good,0,0,3280,0,0,Bellas Vistas,2,1,,0
7481,90157847,340000,chalet,330.0,0,4,3,Casco Antiguo - La Dehesa - Los Monteros,Arroyomolinos,Casco Antiguo - La Dehesa - Los Monteros,40.2704,-3.9141,24167,good,0,0,1030,1,1,nan,nan,0,,0
7482,90157906,184000,flat,43.0,1,2,1,Calle San Marcelo,Madrid,Ciudad Lineal,40.4282,-3.6582,4021,good,0,0,4279,0,0,Ventas,nan,1,,0
7483,90157866,195000,flat,62.0,0,2,1,"Calle del Doctor Esquerdo, 21",Madrid,Barrio de Salamanca,40.4259,-3.6682,3140,renew,0,0,3145,0,0,Fuente del Berro,4,1,,0
7484,90157881,499000,flat,121.0,1,3,2,Avenida Isabel de Valois,Madrid,Hortaleza,40.5013,-3.6539,10291,good,0,0,4124,1,1,Sanchinarro,1,1,,0
7485,90157812,397000,flat,83.0,1,2,2,Calle JULIO CASARES,Madrid,Hortaleza,40.4872,-3.6477,9140,good,0,0,4783,1,1,Sanchinarro,4,1,,0
7486,90157624,465000,flat,123.0,1,3,2,Avenida del Mediterráneo,Madrid,Retiro,40.4064,-3.671,2961,good,0,0,3780,0,0,Adelfas,10,1,,0
7487,90157789,226000,flat,120.0,1,4,2,JOSE RAMON VIZCAINO s/n,Madrid,San Blas,40.431,-3.6147,7665,good,0,0,1883,0,0,Hellín,9,1,,0
7488,90157785,267000,flat,74.0,1,3,1,barrio San Juan Bautista,Madrid,Ciudad Lineal,40.4525,-3.6601,5403,good,0,0,3608,0,0,San Juan Bautista,4,1,,0
7489,90157722,190000,flat,53.0,0,2,1,Calle de Embajadores,Madrid,Arganzuela,40.4013,-3.6998,1743,nan,0,0,3585,0,0,Acacias,3,0,,0
7490,90157220,415000,chalet,233.0,0,3,3,Finlandia,Getafe,El Bercial,40.329,-3.7333,10080,good,0,0,1781,0,0,nan,nan,0,,0
