,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
26,85465486,998000,chalet,200.0,FALSE,5,4,Calle Padre Arrupe,La Moraleja,Encinar de los Reyes,40.5042,-3.6347,11326,good,FALSE,FALSE,4990,TRUE,TRUE,Almagro,7,TRUE,,FALSE
27,87122424,1190000,chalet,250.0,FALSE,5,5,Paseo de los Parques,La Moraleja,Encinar de los Reyes,40.5115,-3.6468,11574,good,FALSE,FALSE,4760,TRUE,TRUE,Almagro,7,TRUE,,FALSE
28,87078848,1100000,chalet,240.0,FALSE,5,5,Calle de la Azalea,La Moraleja,El Soto de la Moraleja,40.528,-3.6451,13314,good,FALSE,FALSE,4583,TRUE,TRUE,Almagro,7,TRUE,,FALSE
29,87801597,1190000,flat,224.0,TRUE,4,5,Calle de la Dalia,La Moraleja,El Soto de la Moraleja,40.5195,-3.6451,12445,good,FALSE,FALSE,5313,TRUE,TRUE,Almagro,1,TRUE,,FALSE
30,88310690,1990000,duplex,450.0,TRUE,5,5,Calle de la Dalia,La Moraleja,El Soto de la Moraleja,40.521,-3.6497,12448,good,FALSE,FALSE,4422,TRUE,TRUE,Almagro,4,TRUE,,FALSE
31,29054072,750000,flat,130.0,TRUE,3,2,Camino del Cura,La Moraleja,Encinar de los Reyes,40.5079,-3.638,11544,good,FALSE,FALSE,5769,TRUE,TRUE,Almagro,1,TRUE,,FALSE
32,33015300,1450000,chalet,310.0,FALSE,4,4,Calle de San Enrique de Ossó,La Moraleja,Encinar de los Reyes,40.5073,-3.6452,11201,good,FALSE,FALSE,4677,TRUE,TRUE,Almagro,1,TRUE,,FALSE
33,87193140,875000,chalet,230.0,FALSE,5,4,Calle de la Gardenia,La Moraleja,El Soto de la Moraleja,40.5318,-3.6383,13930,good,FALSE,FALSE,3804,TRUE,TRUE,Almagro,1,TRUE,,FALSE
34,85879881,899000,chalet,360.0,FALSE,6,4,Calle de la Hiedra,La Moraleja,El Soto de la Moraleja,40.5279,-3.6398,13474,renew,FALSE,FALSE,2497,TRUE,TRUE,Almagro,1,TRUE,,FALSE
35,82726184,5600000,chalet,1236.0,FALSE,7,6,"Vereda de los Chopos, Alcobendas",La Moraleja,La Moraleja,40.5075,-3.6277,11954,good,FALSE,FALSE,4531,TRUE,TRUE,Almagro,1,TRUE,,FALSE
